investor_id,age_group,gender,state,city_tier,sip_amount
85,46-55,Male,Telangana,T30,1000
86,55+,Male,Maharashtra,B30,5000
87,26-35,Male,Punjab,T30,1000
88,18-25,Male,Punjab,T30,2000
89,36-45,Male,West Bengal,B30,500
90,55+,Female,Delhi,B30,2000
91,36-45,Male,Karnataka,T30,5000
92,36-45,Male,Maharashtra,B30,2000
93,26-35,Male,Maharashtra,T30,2000
94,36-45,Male,West Bengal,B30,10000
95,46-55,Female,Tamil Nadu,B30,2000
96,26-35,Male,Tamil Nadu,B30,25000
97,26-35,Female,Delhi,T30,2000
98,26-35,Female,Delhi,B30,2000
99,26-35,Other,Punjab,B30,500
100,26-35,Male,West Bengal,T30,5000
101,18-25,Female,Rajasthan,T30,1000
102,26-35,Male,Delhi,T30,1000
103,46-55,Female,Rajasthan,T30,1000
104,26-35,Female,Gujarat,T30,2000
105,55+,Male,Delhi,T30,2000
106,36-45,Male,Gujarat,T30,5000
107,26-35,Male,Telangana,T30,2000
108,26-35,Female,Delhi,B30,10000
109,36-45,Female,Tamil Nadu,T30,500
110,26-35,Male,Telangana,T30,1000
111,55+,Female,Rajasthan,T30,1000
112,18-25,Female,West Bengal,T30,1000
113,18-25,Female,Maharashtra,T30,5000
114,26-35,Male,Karnataka,T30,2000
115,36-45,Male,West Bengal,B30,2000
116,46-55,Female,Karnataka,T30,5000
117,26-35,Male,Punjab,T30,2000
118,36-45,Male,Gujarat,B30,2000
119,18-25,Female,Maharashtra,T30,2000
120,36-45,Female,Karnataka,T30,5000
121,18-25,Male,Karnataka,T30,2000
122,36-45,Male,Tamil Nadu,T30,2000
123,36-45,Female,Karnataka,T30,2000
124,18-25,Male,Delhi,T30,25000
125,36-45,Male,Gujarat,B30,5000
126,36-45,Female,Maharashtra,T30,2000
127,36-45,Male,Tamil Nadu,B30,2000
128,36-45,Female,Delhi,B30,2000
129,36-45,Male,Telangana,T30,2000
130,36-45,Male,Delhi,B30,5000
131,55+,Female,Delhi,T30,5000
132,55+,Female,West Bengal,T30,500
133,36-45,Male,Maharashtra,B30,1000
134,46-55,Male,Delhi,B30,2000
135,55+,Male,West Bengal,B30,5000
136,26-35,Male,Maharashtra,B30,5000
137,55+,Female,Delhi,T30,1000
138,26-35,Male,Maharashtra,T30,5000
139,18-25,Female,Maharashtra,T30,2000
140,55+,Male,Tamil Nadu,B30,1000
141,26-35,Male,Karnataka,T30,10000
142,36-45,Male,Maharashtra,T30,2000
143,55+,Female,Maharashtra,T30,10000
144,18-25,Male,Maharashtra,B30,2000
145,26-35,Male,Maharashtra,T30,2000
146,36-45,Male,Maharashtra,T30,5000
147,36-45,Other,Maharashtra,B30,1000
148,46-55,Female,Maharashtra,T30,10000
149,46-55,Male,West Bengal,B30,2000
150,26-35,Male,Telangana,B30,1000
151,26-35,Male,Rajasthan,B30,5000
152,36-45,Female,Delhi,B30,1000
153,36-45,Female,Delhi,B30,25000
154,26-35,Male,Maharashtra,T30,5000
155,26-35,Female,Maharashtra,T30,1000
156,26-35,Male,Tamil Nadu,B30,25000
157,46-55,Male,Punjab,B30,2000
158,46-55,Female,Rajasthan,T30,2000
159,18-25,Male,Karnataka,T30,500
160,26-35,Female,Karnataka,B30,500
161,26-35,Male,Maharashtra,B30,1000
162,55+,Male,Karnataka,B30,500
163,55+,Male,Tamil Nadu,T30,1000
164,36-45,Female,Tamil Nadu,T30,2000
165,18-25,Male,Tamil Nadu,B30,5000
166,26-35,Male,Rajasthan,T30,1000
167,26-35,Male,Karnataka,T30,2000
168,55+,Male,Karnataka,B30,2000
169,18-25,Male,Delhi,T30,1000
170,46-55,Male,Maharashtra,T30,2000
171,26-35,Male,Maharashtra,T30,2000
172,36-45,Male,Delhi,T30,1000
173,36-45,Female,West Bengal,B30,2000
174,36-45,Male,Tamil Nadu,T30,1000
175,36-45,Male,Tamil Nadu,B30,500
176,46-55,Male,Gujarat,T30,1000
177,26-35,Female,Delhi,T30,10000
178,26-35,Male,West Bengal,T30,2000
179,46-55,Female,Tamil Nadu,T30,25000
180,18-25,Female,Delhi,B30,1000
181,36-45,Female,Delhi,T30,1000
182,55+,Female,Tamil Nadu,T30,2000
183,46-55,Male,Telangana,T30,2000
184,46-55,Male,Maharashtra,T30,2000
185,18-25,Male,Telangana,T30,5000
186,46-55,Female,Karnataka,T30,500
187,46-55,Male,Gujarat,B30,5000
188,36-45,Female,Rajasthan,T30,10000
189,26-35,Male,Maharashtra,T30,1000
190,26-35,Female,Maharashtra,B30,2000
191,36-45,Female,Maharashtra,T30,5000
192,46-55,Male,Delhi,T30,2000
193,26-35,Female,Telangana,T30,2000
194,26-35,Male,Maharashtra,T30,2000
195,36-45,Female,UP,T30,1000
196,36-45,Female,Tamil Nadu,T30,2000
197,36-45,Female,Maharashtra,B30,1000
198,26-35,Male,Maharashtra,T30,1000
199,36-45,Male,West Bengal,B30,500
200,18-25,Female,Tamil Nadu,T30,1000
201,18-25,Female,Maharashtra,T30,1000
202,36-45,Male,UP,B30,2000
203,26-35,Female,Maharashtra,T30,10000
204,36-45,Male,Karnataka,T30,1000
205,36-45,Female,Tamil Nadu,T30,1000
206,36-45,Female,UP,B30,2000
207,46-55,Female,Maharashtra,T30,1000
208,18-25,Male,Maharashtra,B30,2000
209,26-35,Other,Maharashtra,T30,2000
210,26-35,Male,Maharashtra,T30,500
211,46-55,Male,West Bengal,T30,25000
212,36-45,Male,Delhi,T30,1000
213,26-35,Male,Tamil Nadu,T30,10000
214,18-25,Male,Gujarat,T30,2000
215,46-55,Female,Karnataka,T30,1000
216,36-45,Female,Gujarat,T30,1000
217,36-45,Male,Gujarat,T30,2000
218,55+,Female,Delhi,T30,2000
219,46-55,Other,Maharashtra,T30,10000
220,26-35,Male,Maharashtra,T30,1000
221,36-45,Male,Rajasthan,B30,5000
222,26-35,Female,Karnataka,T30,1000
223,46-55,Female,Rajasthan,T30,10000
224,18-25,Male,Tamil Nadu,T30,2000
225,26-35,Female,Maharashtra,T30,5000
226,36-45,Female,Gujarat,T30,2000
227,55+,Female,Tamil Nadu,T30,1000
228,46-55,Male,Delhi,B30,2000
229,36-45,Female,Maharashtra,T30,1000
230,36-45,Female,Maharashtra,B30,1000
231,46-55,Male,Maharashtra,T30,10000
232,36-45,Female,West Bengal,B30,2000
233,46-55,Male,Gujarat,B30,5000
234,46-55,Male,West Bengal,T30,5000
235,46-55,Female,Delhi,T30,500
236,18-25,Male,Karnataka,T30,10000
237,26-35,Male,West Bengal,T30,5000
238,26-35,Male,West Bengal,T30,1000
239,36-45,Male,Gujarat,T30,1000
240,26-35,Male,Delhi,T30,500
241,26-35,Male,Maharashtra,T30,500
242,26-35,Male,Delhi,B30,1000
243,55+,Male,Delhi,T30,500
244,26-35,Male,Telangana,T30,1000
245,18-25,Female,Delhi,B30,10000
246,18-25,Female,Rajasthan,T30,2000
247,26-35,Male,West Bengal,T30,2000
248,55+,Male,Maharashtra,T30,1000
249,55+,Male,Karnataka,T30,1000
250,36-45,Male,Karnataka,T30,2000
251,36-45,Other,Delhi,T30,1000
252,46-55,Female,Delhi,B30,10000
253,18-25,Male,Delhi,T30,1000
254,26-35,Male,Tamil Nadu,B30,5000
255,36-45,Female,West Bengal,B30,2000
256,46-55,Male,Karnataka,B30,5000
257,36-45,Male,Telangana,T30,5000
258,26-35,Female,Gujarat,T30,1000
259,46-55,Male,UP,B30,2000
260,36-45,Female,Karnataka,B30,2000
261,46-55,Female,Maharashtra,T30,2000
262,26-35,Male,Tamil Nadu,B30,5000
263,18-25,Male,Rajasthan,T30,500
264,26-35,Female,Tamil Nadu,T30,1000
265,55+,Male,Tamil Nadu,T30,5000
266,18-25,Male,Punjab,T30,10000
267,36-45,Female,Delhi,T30,5000
268,26-35,Male,Rajasthan,B30,1000
269,26-35,Male,Karnataka,T30,5000
270,26-35,Male,Karnataka,T30,500
271,18-25,Female,Maharashtra,T30,1000
272,18-25,Female,Gujarat,B30,500
273,18-25,Male,Rajasthan,T30,1000
274,18-25,Male,Karnataka,T30,2000
275,18-25,Male,Gujarat,T30,500
276,36-45,Female,Tamil Nadu,T30,5000
277,18-25,Female,Delhi,T30,1000
278,26-35,Male,Telangana,T30,500
279,36-45,Female,West Bengal,T30,1000
280,18-25,Female,UP,T30,2000
281,46-55,Female,Delhi,B30,2000
282,26-35,Female,UP,T30,2000
283,55+,Male,Delhi,T30,2000
284,26-35,Female,Maharashtra,B30,2000
285,18-25,Male,Maharashtra,T30,10000
286,36-45,Female,Maharashtra,B30,1000
287,26-35,Female,Delhi,T30,1000
288,36-45,Male,Maharashtra,B30,2000
289,26-35,Female,Maharashtra,T30,1000
290,26-35,Male,UP,B30,1000
291,46-55,Female,Rajasthan,T30,500
292,26-35,Male,Gujarat,T30,10000
293,26-35,Male,Karnataka,T30,5000
294,26-35,Female,Karnataka,T30,10000
295,36-45,Male,Karnataka,B30,500
296,18-25,Male,Delhi,T30,500
297,36-45,Male,Tamil Nadu,T30,2000
298,26-35,Female,Maharashtra,T30,500
299,55+,Female,West Bengal,T30,1000
300,36-45,Male,Karnataka,T30,25000
301,26-35,Female,Rajasthan,T30,2000
302,36-45,Female,Punjab,B30,25000
303,46-55,Female,UP,T30,1000
304,36-45,Female,Gujarat,B30,2000
305,26-35,Male,Karnataka,T30,500
306,26-35,Female,Delhi,T30,2000
307,26-35,Female,West Bengal,T30,1000
308,18-25,Female,Delhi,T30,2000
309,36-45,Male,Maharashtra,T30,5000
310,36-45,Male,Tamil Nadu,B30,2000
311,26-35,Female,Karnataka,B30,5000
312,36-45,Male,UP,B30,2000
313,26-35,Male,West Bengal,T30,5000
314,26-35,Female,West Bengal,T30,2000
315,36-45,Male,Gujarat,B30,10000
316,46-55,Male,Delhi,T30,5000
317,36-45,Female,Telangana,B30,1000
318,46-55,Female,Delhi,T30,2000
319,26-35,Male,UP,B30,10000
320,18-25,Male,UP,T30,10000
321,36-45,Female,Maharashtra,T30,2000
322,26-35,Female,West Bengal,T30,1000
323,36-45,Female,Gujarat,B30,1000
324,26-35,Male,Telangana,T30,1000
325,36-45,Female,Delhi,T30,1000
326,36-45,Male,Tamil Nadu,B30,25000
327,46-55,Female,Gujarat,B30,5000
328,46-55,Female,Maharashtra,B30,1000
329,18-25,Male,Rajasthan,T30,1000
330,26-35,Male,Karnataka,T30,1000
331,46-55,Female,West Bengal,T30,10000
332,26-35,Female,Maharashtra,B30,2000
333,36-45,Male,Delhi,T30,1000
334,26-35,Male,Karnataka,T30,5000
335,36-45,Male,Delhi,B30,5000
336,26-35,Male,Telangana,T30,2000
337,46-55,Male,Rajasthan,T30,5000
338,26-35,Female,UP,T30,5000
339,26-35,Female,Karnataka,B30,500
340,18-25,Female,Karnataka,B30,10000
341,36-45,Female,Rajasthan,T30,1000
342,55+,Male,Karnataka,T30,25000
343,26-35,Male,Karnataka,B30,10000
344,18-25,Female,Tamil Nadu,T30,500
345,26-35,Male,Tamil Nadu,T30,2000
346,36-45,Male,West Bengal,T30,25000
347,55+,Male,West Bengal,B30,2000
348,18-25,Male,Karnataka,B30,2000
349,46-55,Male,Delhi,T30,10000
350,26-35,Male,Telangana,T30,2000
351,26-35,Male,Rajasthan,B30,1000
352,26-35,Male,Maharashtra,T30,2000
353,55+,Female,Karnataka,B30,1000
354,46-55,Male,Delhi,B30,1000
355,26-35,Male,West Bengal,T30,1000
356,55+,Male,Karnataka,T30,500
357,18-25,Male,Maharashtra,T30,1000
358,26-35,Female,Gujarat,T30,1000
359,36-45,Female,Delhi,T30,5000
360,55+,Male,Delhi,T30,2000
361,26-35,Male,Maharashtra,T30,5000
362,46-55,Male,Rajasthan,T30,25000
363,46-55,Male,Tamil Nadu,T30,2000
364,18-25,Male,Karnataka,T30,2000
365,26-35,Male,West Bengal,B30,2000
366,18-25,Male,Delhi,B30,2000
367,36-45,Female,Tamil Nadu,B30,1000
368,36-45,Female,Delhi,T30,25000
369,18-25,Male,Maharashtra,T30,2000
370,26-35,Female,Tamil Nadu,T30,10000
371,36-45,Male,Delhi,T30,1000
372,36-45,Male,Gujarat,B30,1000
373,36-45,Male,Karnataka,T30,2000
374,18-25,Female,Delhi,T30,10000
375,26-35,Female,Tamil Nadu,T30,5000
376,26-35,Male,Maharashtra,T30,5000
377,36-45,Male,Gujarat,B30,2000
378,36-45,Female,Karnataka,T30,5000
379,36-45,Male,Rajasthan,T30,1000
380,18-25,Female,Maharashtra,T30,2000
381,36-45,Male,Karnataka,B30,5000
382,46-55,Male,Maharashtra,B30,5000
383,36-45,Female,Maharashtra,T30,500
384,46-55,Male,Telangana,B30,500
385,26-35,Male,Gujarat,T30,5000
386,26-35,Female,Delhi,B30,500
387,26-35,Male,Delhi,T30,1000
388,36-45,Male,Delhi,B30,1000
389,26-35,Male,Maharashtra,T30,2000
390,26-35,Male,Maharashtra,T30,1000
391,36-45,Male,Maharashtra,T30,1000
392,36-45,Male,West Bengal,T30,500
393,18-25,Male,Tamil Nadu,B30,5000
394,55+,Male,Tamil Nadu,T30,1000
395,36-45,Female,Gujarat,B30,2000
396,26-35,Male,Delhi,B30,1000
397,55+,Female,Delhi,T30,1000
398,18-25,Male,Maharashtra,T30,1000
399,36-45,Male,Tamil Nadu,T30,1000
400,46-55,Male,Telangana,B30,2000
401,26-35,Female,UP,B30,5000
402,36-45,Male,Tamil Nadu,T30,500
403,46-55,Male,West Bengal,T30,1000
404,26-35,Male,Punjab,T30,500
405,26-35,Female,Karnataka,B30,25000
406,26-35,Female,UP,B30,2000
407,26-35,Male,Karnataka,T30,5000
408,18-25,Male,Maharashtra,B30,1000
409,26-35,Male,Telangana,B30,10000
410,46-55,Female,Maharashtra,T30,2000
411,36-45,Female,West Bengal,T30,2000
412,26-35,Male,Delhi,B30,2000
413,55+,Male,UP,B30,1000
414,36-45,Male,Delhi,T30,1000
415,26-35,Female,Maharashtra,T30,2000
416,36-45,Male,Karnataka,T30,2000
417,36-45,Female,Karnataka,T30,1000
418,36-45,Male,Rajasthan,B30,25000
419,26-35,Male,Gujarat,T30,5000
420,26-35,Male,Delhi,B30,2000
421,26-35,Female,Karnataka,T30,25000
422,18-25,Male,Tamil Nadu,T30,2000
423,26-35,Female,Tamil Nadu,T30,10000
424,26-35,Male,UP,T30,5000
425,18-25,Male,Karnataka,B30,1000
426,46-55,Female,UP,T30,2000
427,36-45,Female,Delhi,B30,1000
428,26-35,Female,UP,T30,5000
429,55+,Male,Delhi,B30,5000
430,55+,Male,Gujarat,T30,5000
431,18-25,Male,Tamil Nadu,T30,2000
432,36-45,Male,UP,B30,2000
433,46-55,Female,Delhi,B30,25000
434,26-35,Male,West Bengal,T30,500
435,18-25,Male,Rajasthan,B30,1000
436,26-35,Male,Gujarat,T30,2000
437,26-35,Female,Tamil Nadu,T30,5000
438,55+,Male,West Bengal,B30,25000
439,46-55,Male,Maharashtra,B30,2000
440,18-25,Female,Delhi,T30,1000
441,46-55,Male,Delhi,T30,10000
442,26-35,Male,Rajasthan,T30,2000
443,26-35,Male,Maharashtra,T30,1000
444,26-35,Female,Delhi,T30,2000
445,26-35,Female,Telangana,T30,2000
446,26-35,Male,Gujarat,B30,1000
447,36-45,Male,Gujarat,B30,1000
448,26-35,Male,Karnataka,T30,1000
449,46-55,Male,West Bengal,B30,5000
450,18-25,Male,Tamil Nadu,T30,2000
451,36-45,Male,Maharashtra,B30,5000
452,46-55,Female,Tamil Nadu,B30,25000
453,18-25,Male,Karnataka,B30,5000
454,36-45,Male,Maharashtra,T30,1000
455,36-45,Female,Delhi,B30,2000
456,26-35,Female,UP,B30,2000
457,18-25,Male,Rajasthan,T30,5000
458,36-45,Other,UP,T30,25000
459,26-35,Male,Gujarat,T30,1000
460,26-35,Male,West Bengal,T30,10000
461,36-45,Male,Maharashtra,T30,500
462,55+,Female,Maharashtra,B30,10000
463,26-35,Female,Delhi,B30,5000
464,36-45,Female,Delhi,T30,500
465,55+,Male,Tamil Nadu,T30,2000
466,18-25,Female,UP,B30,10000
467,36-45,Male,UP,T30,2000
468,18-25,Female,West Bengal,B30,1000
469,46-55,Male,Tamil Nadu,T30,25000
470,26-35,Male,Delhi,T30,2000
471,26-35,Female,Telangana,B30,2000
472,36-45,Male,West Bengal,T30,25000
473,46-55,Male,Tamil Nadu,T30,2000
474,26-35,Male,Maharashtra,T30,5000
475,36-45,Female,Rajasthan,T30,5000
476,55+,Male,Delhi,T30,5000
477,46-55,Male,UP,T30,5000
478,36-45,Male,Maharashtra,B30,500
479,55+,Male,Maharashtra,T30,10000
480,46-55,Female,Karnataka,T30,2000
481,36-45,Female,Maharashtra,T30,2000
482,46-55,Other,Maharashtra,T30,5000
483,46-55,Male,Gujarat,T30,1000
484,36-45,Female,Delhi,T30,5000
485,36-45,Male,West Bengal,T30,1000
486,18-25,Male,Tamil Nadu,B30,5000
487,18-25,Female,Maharashtra,T30,2000
488,36-45,Female,Karnataka,B30,1000
489,36-45,Male,Maharashtra,B30,10000
490,36-45,Female,Karnataka,T30,5000
491,55+,Female,Maharashtra,T30,500
492,26-35,Female,Maharashtra,B30,500
493,18-25,Female,Delhi,B30,2000
494,36-45,Male,Maharashtra,B30,5000
495,18-25,Female,Gujarat,T30,1000
496,36-45,Male,Maharashtra,T30,25000
497,36-45,Male,West Bengal,B30,10000
498,36-45,Male,Rajasthan,T30,10000
499,26-35,Female,UP,B30,500
500,18-25,Female,Tamil Nadu,B30,25000
501,26-35,Female,Gujarat,T30,2000
502,36-45,Male,Karnataka,T30,2000
503,26-35,Male,Karnataka,T30,500
504,36-45,Female,Tamil Nadu,T30,2000
505,26-35,Female,West Bengal,T30,2000
506,46-55,Female,West Bengal,T30,2000
507,55+,Male,Gujarat,T30,1000
508,26-35,Female,Tamil Nadu,T30,2000
509,36-45,Male,UP,B30,500
510,26-35,Female,West Bengal,T30,500
511,36-45,Male,Telangana,T30,1000
512,26-35,Male,Gujarat,T30,5000
513,36-45,Female,Gujarat,T30,2000
514,26-35,Male,UP,B30,10000
515,46-55,Male,West Bengal,T30,2000
516,26-35,Male,Maharashtra,T30,1000
517,55+,Male,Maharashtra,B30,5000
518,18-25,Male,Delhi,T30,2000
519,26-35,Male,Rajasthan,B30,2000
520,36-45,Male,Maharashtra,T30,2000
521,46-55,Male,Maharashtra,T30,1000
522,36-45,Male,Maharashtra,T30,1000
523,26-35,Male,Maharashtra,B30,2000
524,46-55,Male,Rajasthan,T30,2000
525,36-45,Male,Delhi,B30,2000
526,26-35,Female,Gujarat,B30,1000
527,36-45,Female,Maharashtra,T30,2000
528,36-45,Female,Karnataka,T30,10000
529,36-45,Male,Maharashtra,T30,10000
530,36-45,Male,Maharashtra,B30,2000
531,46-55,Male,Tamil Nadu,B30,10000
532,46-55,Female,Karnataka,T30,5000
533,36-45,Male,Karnataka,T30,2000
534,18-25,Female,Maharashtra,T30,5000
535,36-45,Female,Tamil Nadu,B30,1000
536,55+,Female,Gujarat,B30,10000
537,26-35,Female,Maharashtra,T30,1000
538,36-45,Female,Karnataka,T30,5000
539,36-45,Male,Delhi,B30,1000
540,36-45,Female,UP,B30,10000
541,55+,Female,Delhi,T30,1000
542,26-35,Female,Telangana,T30,5000
543,36-45,Male,Rajasthan,T30,2000
544,18-25,Male,Maharashtra,T30,500
545,46-55,Female,Karnataka,T30,1000
546,26-35,Male,West Bengal,T30,1000
547,55+,Male,Tamil Nadu,T30,2000
548,26-35,Male,West Bengal,B30,1000
549,26-35,Male,Karnataka,T30,500
550,26-35,Male,UP,T30,25000
551,36-45,Male,Delhi,T30,5000
552,26-35,Male,Maharashtra,T30,500
553,26-35,Male,Punjab,B30,1000
554,36-45,Male,West Bengal,T30,2000
555,55+,Female,West Bengal,B30,1000
556,55+,Male,Rajasthan,B30,1000
557,26-35,Male,Karnataka,T30,2000
558,36-45,Male,Karnataka,T30,1000
559,36-45,Male,Telangana,B30,2000
560,36-45,Male,Karnataka,B30,500
561,18-25,Other,Maharashtra,B30,1000
562,36-45,Male,Delhi,B30,1000
563,36-45,Male,UP,T30,1000
564,26-35,Male,Maharashtra,T30,5000
565,26-35,Female,Gujarat,B30,5000
566,26-35,Female,Delhi,T30,1000
567,46-55,Male,Gujarat,B30,5000
568,46-55,Male,Karnataka,T30,500
569,26-35,Female,West Bengal,B30,1000
570,36-45,Female,Delhi,B30,2000
571,26-35,Male,Maharashtra,T30,25000
572,36-45,Male,Maharashtra,T30,25000
573,26-35,Male,Rajasthan,T30,2000
574,26-35,Male,Gujarat,T30,5000
575,46-55,Male,Delhi,T30,2000
576,36-45,Male,Rajasthan,T30,5000
577,26-35,Male,Rajasthan,T30,5000
578,18-25,Male,Maharashtra,T30,5000
579,55+,Male,Gujarat,T30,2000
580,26-35,Male,Delhi,B30,5000
581,36-45,Other,Karnataka,T30,2000
582,26-35,Female,Karnataka,B30,5000
583,18-25,Male,Tamil Nadu,T30,10000
584,36-45,Male,Delhi,T30,5000
585,46-55,Male,Maharashtra,T30,2000
586,18-25,Female,West Bengal,T30,2000
587,18-25,Male,Telangana,B30,5000
588,46-55,Female,West Bengal,T30,500
589,36-45,Female,Tamil Nadu,T30,2000
590,36-45,Female,Maharashtra,B30,2000
591,26-35,Male,West Bengal,B30,1000
592,26-35,Female,Tamil Nadu,T30,10000
593,26-35,Male,Tamil Nadu,T30,2000
594,36-45,Male,UP,T30,2000
595,26-35,Female,Gujarat,T30,2000
596,36-45,Male,Gujarat,T30,2000
597,36-45,Male,Delhi,B30,1000
598,46-55,Male,Delhi,T30,2000
599,55+,Male,Delhi,T30,2000
600,46-55,Female,Gujarat,B30,5000
601,36-45,Female,West Bengal,T30,5000
602,26-35,Female,Delhi,T30,500
603,26-35,Female,Maharashtra,B30,5000
604,36-45,Male,Rajasthan,T30,2000
605,36-45,Male,Karnataka,T30,1000
606,26-35,Male,Maharashtra,T30,2000
607,55+,Male,Maharashtra,T30,2000
608,18-25,Female,UP,B30,1000
609,36-45,Male,Maharashtra,T30,5000
610,36-45,Male,Delhi,T30,2000
611,36-45,Female,West Bengal,T30,1000
612,36-45,Male,Karnataka,B30,2000
613,18-25,Male,Karnataka,B30,2000
614,55+,Male,Rajasthan,T30,1000
615,55+,Female,Punjab,B30,10000
616,36-45,Male,Karnataka,B30,5000
617,26-35,Female,Delhi,T30,5000
618,26-35,Male,Karnataka,B30,500
619,18-25,Male,Delhi,T30,2000
620,36-45,Male,Karnataka,B30,10000
621,26-35,Male,Delhi,T30,5000
622,26-35,Female,Karnataka,T30,1000
623,36-45,Female,Telangana,B30,10000
624,46-55,Female,Delhi,T30,2000
625,18-25,Female,West Bengal,T30,10000
626,36-45,Male,Karnataka,T30,2000
627,36-45,Male,Gujarat,T30,5000
628,55+,Male,Karnataka,T30,2000
629,36-45,Female,Maharashtra,T30,1000
630,36-45,Male,UP,T30,5000
631,36-45,Male,West Bengal,T30,500
632,55+,Male,Tamil Nadu,B30,5000
633,46-55,Male,Rajasthan,B30,25000
634,18-25,Male,Punjab,T30,1000
635,36-45,Female,Karnataka,B30,10000
636,46-55,Male,Delhi,T30,1000
637,36-45,Male,Gujarat,B30,2000
638,26-35,Male,Karnataka,T30,1000
639,26-35,Female,Maharashtra,T30,1000
640,36-45,Male,Delhi,T30,5000
641,26-35,Male,Rajasthan,T30,5000
642,26-35,Male,West Bengal,B30,5000
643,46-55,Male,UP,B30,500
644,26-35,Male,Maharashtra,T30,5000
645,36-45,Female,Delhi,T30,500
646,46-55,Male,Delhi,T30,2000
647,36-45,Female,Punjab,B30,1000
648,26-35,Female,Maharashtra,T30,10000
649,18-25,Male,Tamil Nadu,B30,2000
650,36-45,Male,West Bengal,T30,2000
651,55+,Female,Tamil Nadu,T30,2000
652,46-55,Male,West Bengal,T30,2000
653,36-45,Male,Karnataka,T30,2000
654,26-35,Male,Maharashtra,T30,2000
655,26-35,Male,West Bengal,T30,5000
656,36-45,Male,Delhi,B30,1000
657,26-35,Male,Maharashtra,T30,5000
658,46-55,Male,Maharashtra,B30,5000
659,26-35,Male,Delhi,T30,10000
660,26-35,Female,Karnataka,T30,10000
661,26-35,Male,UP,T30,25000
662,26-35,Female,Tamil Nadu,T30,1000
663,36-45,Male,Karnataka,T30,10000
